arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
 7:16 AM, 7:43 AM, 8:13 AM,1615,2022-04-20 14:01:44.252,18
 8:07 AM, 1:02 PM, 8:02 PM,1616,2022-04-20 14:01:43.785,20
 8:09 AM, 1:03 PM, 8:03 PM,1615,2022-04-20 14:01:44.524,20
 8:11 AM, 1:06 PM, 8:06 PM,2448,2022-04-20 14:01:49.095,20
 7:25 AM, 8:25 AM,10:25 AM,2676,2022-04-20 14:01:55.562,19
 8:04 AM,12:59 PM, 7:59 PM,2102,2022-04-20 14:02:21.343,20
 7:22 AM, 8:22 AM,10:22 AM,2672,2022-04-20 14:02:39.477,19
 7:23 AM, 8:23 AM,10:23 AM,2674,2022-04-20 14:02:42.261,19
 7:20 AM, 8:20 AM,10:20 AM,2671,2022-04-20 14:02:42.624,19
 7:24 AM, 8:24 AM,10:24 AM,2675,2022-04-20 14:02:43.707,19
 8:19 AM, 9:24 AM,11:29 AM,1616,2022-04-20 15:00:39.680,10
arriving, 8:32 AM, 9:00 AM,2672,2022-04-20 15:00:40.116,15
 8:02 AM, 8:35 AM, 9:01 AM,2674,2022-04-20 15:00:44.165,15
 8:03 AM, 8:36 AM, 9:03 AM,2675,2022-04-20 15:00:46.957,15
 8:06 AM, 8:37 AM, 9:05 AM,2676,2022-04-20 15:00:48.163,15
 8:18 AM, 8:45 AM, 9:00 AM,2102,2022-04-20 15:00:52.862,18
 8:19 AM, 8:46 AM, 9:01 AM,1617,2022-04-20 15:00:53.611,18
 8:23 AM, 8:50 AM, 9:05 AM,1615,2022-04-20 15:00:58.280,18
 8:21 AM, 8:48 AM, 9:03 AM,1616,2022-04-20 15:00:59.648,18
 8:26 AM, 8:53 AM, 9:08 AM,2448,2022-04-20 15:01:03.890,18
 8:06 AM,11:05 AM, 1:05 PM,1617,2022-04-20 15:01:07.946,20
 8:18 AM, 9:23 AM,11:28 AM,1617,2022-04-20 15:01:20.831,10
 8:21 AM, 9:26 AM,11:31 AM,1615,2022-04-20 15:01:25.849,10
 8:24 AM, 9:29 AM,11:34 AM,2448,2022-04-20 15:01:27.352,10
 8:09 AM,11:08 AM, 1:08 PM,1615,2022-04-20 15:01:28.239,20
 8:29 AM, 8:58 AM, 9:29 AM,2671,2022-04-20 15:01:31.660,15
